id_x,item_name,price,description,image_url,created_at,rate,category_id_id,seller_id_id,tag_id_id,stock,id_y,category_name
4,캣 로우코티드 키블 와일드코트 살몬 5lb (2.2kg),47000,고양이 KIBBLE 사료,rawcoated.jpg,2024-04-29 02:23:58.163069+00:00,3.9,2,3,2,100,2,사료
13,ANF 독 6 Free 플러스 소고기&연어 5.6kg,51120,개 사료,beefandsalmon.jpeg,2024-04-29 06:28:09.113964+00:00,4.3,2,2,2,100,2,사료
29,테스트 아이템1,11111,테스트 아이템 1에 관한 설명입니다.,sample_EhyppM6.jpg,2024-05-07 08:41:24.103530+00:00,0.0,1,3,1,100,1,산책용품
3,스텔라앤츄이스 독 츄이스 치킨 디너패티 397g,60000,강아지 사료,stella.jpeg,2024-04-29 02:15:41.709443+00:00,4.3,2,2,2,100,2,사료
19,캐츠랑 전연령 리브레 5kg,16500,"캐츠랑 전연령 리브레 사료는 고양이의 건강을 위한 필수 영양소가 함유되어 있는 전연령 사료입니다. L-라이신, 멀티비타민, 베타글루칸, 셀레늄이 함유되어 있어 면역력에 도움을 주며 요로결석 예방에 도움을 주는 DL-메치오닌, 원활한 헤어볼 배출에 도움을 주는 비트펄프, 유익균을 활성화시켜 장 건강 및 변 냄새 감소에 도움을 주는 프럭토 올리고당, 피모 및 모질 개선에 도움을 주는 오메가3, 6가 함유되어 있습니다. 안심하고 급여할 수 있도록 BHA, BHT, 에톡시퀸, 항곰팡이제, 인공향미제, 색소, 항생제, 살충제, 호르몬제가 무첨가된 9-free 제품이며 천연 항산화제인 토코페롤과 로즈마리 추출물을 함유하였습니다. 동물성 단백질원이 75% 이상 사용되어 육식동물인 고양이에게 필요한 영양성분이 풍부합니다.",catsrang.jpg,2024-05-02 01:22:42.979900+00:00,4.9,2,9,3,100,2,사료
23,테스트 아이템2,23423,테스트 아이템 2에 관한 설명입니다.,sample_uKMwaXx.jpg,2024-05-04 14:04:02.467770+00:00,0.0,2,3,1,100,2,사료
25,캐츠랑 어덜트 2kg,12000,"닭고기분말, 콘그릿츠, 옥수수글루텐, 생선살코기분말, 쌀, 치킨오일, 비트펄프, 아마종실, 닭간분말, 건조맥주효모, 소금, 메치오닌, L-라이신, 타우린, 콜린, 프락토올리고당, 로즈마리 추출물, 유카추출물, 비타민 및 미네랄",adult.jpg,2024-05-06 04:13:52.901736+00:00,4.9,2,3,3,100,2,사료
14,고양이 화장실,60000,,toilet.jpg,2024-04-29 06:43:16.678450+00:00,4.5,1,2,1,100,1,산책용품
16,깜찍한목줄,13000,,neck.jpg,2024-04-29 07:07:23.597105+00:00,3.8,2,2,1,100,2,사료
12,테스트3,13000,테스트3 상품에 관한 내용입니다.,sample_UI0JB3T.jpg,2024-04-29 06:25:41.911715+00:00,4.0,1,2,1,100,1,산책용품
34,테스트용 상품5,5000,테스트용 여우 사진입니다.,Df80Zp5UcAAFYUJ.jpg,2024-05-09 01:35:19.849309+00:00,0.0,1,31,2,100,1,산책용품
27,세이프독 강아지 입마개(4호) 물림방지 강아지입질,23600,산책 시 강아지의 물림으로부터 방지합니다.,dogmouse.jpg,2024-05-07 06:09:01.489667+00:00,0.0,1,3,1,100,1,산책용품
35,새로 만든 상품,10000,냉장고를 뒤지는 여우입니다.,Df80ZQoVMAAaR9N.jpg,2024-05-09 01:56:57.693294+00:00,0.0,1,32,3,100,1,산책용품
33,스터디셀러 1인용 2인용 컴퓨터책상 원목책상 1200,228000,이거 스테디셀러인데 원목책상이에요.,grape1.jpg,2024-05-08 15:17:19.297641+00:00,0.0,2,25,1,100,2,사료
